Month,Region,Channel,ProductCategory,UnitsSold,AvgUnitPrice,Revenue,COGS,MarketingSpend,NewCustomers,RepeatCustomers,ReturnedUnits,GrossProfit,GrossMarginPct
2025-09,Latin America,Online Store,Hiking Footwear,118,124.73,14717.95,7967.16,1306.35,34,32,7,6750.79,45.87
2025-09,Latin America,Online Store,Apparel,100,69.77,6977.19,3968.08,704.05,32,26,5,3009.11,43.13
2025-09,Latin America,Online Store,Camping Gear,166,161.70,26842.23,13258.43,2417.05,43,39,3,13583.8,50.61
2025-09,Latin America,Online Store,Accessories,126,34.76,4379.66,2279.80,363.18,42,19,2,2099.86,47.95
2025-09,Latin America,Retail Partner,Hiking Footwear,78,111.05,8661.86,4485.90,1053.28,22,18,1,4175.96,48.21
2025-09,Latin America,Retail Partner,Apparel,94,59.17,5562.16,2887.18,574.3,32,24,6,2674.98,48.09
2025-09,Latin America,Retail Partner,Camping Gear,50,158.86,7942.78,3853.90,755.5,13,7,3,4088.88,51.48
2025-09,Latin America,Retail Partner,Accessories,94,37.35,3511.07,1897.65,325.53,25,16,3,1613.42,45.95
2025-09,Latin America,Marketplace,Hiking Footwear,105,123.84,13003.70,6324.89,1773.56,37,24,5,6678.81,51.36
2025-09,Latin America,Marketplace,Apparel,64,63.95,4093.11,1973.72,362.15,23,9,1,2119.39,51.78
2025-09,Latin America,Marketplace,Camping Gear,98,149.23,14624.07,6766.83,1452.6,31,17,4,7857.24,53.73
2025-09,Latin America,Marketplace,Accessories,86,34.29,2948.90,1563.10,326.76,22,17,4,1385.8,46.99
2025-10,North America,Online Store,Hiking Footwear,371,123.81,45933.01,21642.78,3015.3,128,57,18,24290.23,52.88
2025-10,North America,Online Store,Apparel,190,70.72,13437.37,7052.09,1223.52,65,41,8,6385.28,47.52
2025-10,North America,Online Store,Camping Gear,276,163.84,45218.66,25670.43,3421.39,71,45,5,19548.23,43.23
2025-10,North America,Online Store,Accessories,327,32.16,10516.68,5666.29,690.89,97,90,6,4850.39,46.12
2025-10,North America,Retail Partner,Hiking Footwear,199,110.84,22056.36,11923.14,2433.16,75,51,11,10133.22,45.94
2025-10,North America,Retail Partner,Apparel,194,62.17,12060.29,5705.33,1447.83,71,57,7,6354.96,52.69
2025-10,North America,Retail Partner,Camping Gear,322,145.22,46762.16,26701.12,6017.03,101,84,18,20061.04,42.9
2025-10,North America,Retail Partner,Accessories,198,32.22,6379.93,3619.54,640.67,74,39,12,2760.39,43.27
2025-10,North America,Marketplace,Hiking Footwear,205,130.81,26816.99,14066.77,2964.54,65,39,7,12750.22,47.55
2025-10,North America,Marketplace,Apparel,122,67.24,8203.61,4494.01,1011.72,44,19,5,3709.6,45.22
2025-10,North America,Marketplace,Camping Gear,196,148.25,29056.20,16428.42,2559.07,52,33,11,12627.78,43.46
2025-10,North America,Marketplace,Accessories,154,35.83,5517.44,2555.38,368.17,54,24,9,2962.06,53.69
2025-10,Europe,Online Store,Hiking Footwear,194,110.04,21347.00,12344.18,1919.98,59,52,13,9002.82,42.17
2025-10,Europe,Online Store,Apparel,158,71.32,11268.25,6174.32,1015.28,41,42,7,5093.93,45.21
2025-10,Europe,Online Store,Camping Gear,278,138.34,38457.39,19768.69,2342.37,89,44,7,18688.7,48.6
2025-10,Europe,Online Store,Accessories,213,32.32,6884.73,3679.18,823.99,71,62,8,3205.55,46.56
2025-10,Europe,Retail Partner,Hiking Footwear,219,113.37,24827.22,14281.09,1513.77,86,34,14,10546.13,42.48
2025-10,Europe,Retail Partner,Apparel,111,65.36,7254.97,4201.25,478.13,36,32,5,3053.72,42.09
2025-10,Europe,Retail Partner,Camping Gear,261,148.64,38794.06,20622.25,4141.08,100,40,8,18171.81,46.84
2025-10,Europe,Retail Partner,Accessories,233,38.15,8889.62,5029.16,857.43,79,44,6,3860.46,43.43
2025-10,Europe,Marketplace,Hiking Footwear,64,122.01,7808.50,3592.73,1077.19,25,16,2,4215.77,53.99
2025-10,Europe,Marketplace,Apparel,85,62.52,5314.53,2953.78,609.99,23,24,5,2360.75,44.42
2025-10,Europe,Marketplace,Camping Gear,97,162.98,15809.24,8894.09,1005.74,24,20,5,6915.15,43.74
2025-10,Europe,Marketplace,Accessories,221,38.41,8488.82,3985.96,912.81,67,65,13,4502.86,53.04
2025-10,Asia Pacific,Online Store,Hiking Footwear,176,117.96,20760.20,10079.97,1339.24,66,47,12,10680.23,51.45
2025-10,Asia Pacific,Online Store,Apparel,162,71.46,11575.92,6045.02,1406.69,63,44,5,5530.9,47.78
2025-10,Asia Pacific,Online Store,Camping Gear,132,163.62,21598.04,11421.10,1690.94,46,32,5,10176.94,47.12
2025-10,Asia Pacific,Online Store,Accessories,175,32.29,5651.61,3036.64,574.34,64,39,10,2614.97,46.27
2025-10,Asia Pacific,Retail Partner,Hiking Footwear,235,129.04,30324.33,15236.54,2144.57,59,61,11,15087.79,49.75
2025-10,Asia Pacific,Retail Partner,Apparel,149,67.65,10080.30,4815.21,714.79,37,30,7,5265.09,52.23
2025-10,Asia Pacific,Retail Partner,Camping Gear,105,162.12,17023.10,8431.09,1721.36,38,21,5,8592.01,50.47
2025-10,Asia Pacific,Retail Partner,Accessories,69,37.54,2590.02,1485.22,185.88,26,15,2,1104.8,42.66
2025-10,Asia Pacific,Marketplace,Hiking Footwear,133,119.82,15936.44,7852.48,1763.72,38,21,3,8083.96,50.73
2025-10,Asia Pacific,Marketplace,Apparel,80,60.16,4813.17,2260.97,342.25,27,14,2,2552.2,53.03
2025-10,Asia Pacific,Marketplace,Camping Gear,121,155.03,18758.23,8861.42,1414.05,30,21,4,9896.81,52.76
2025-10,Asia Pacific,Marketplace,Accessories,152,32.74,4976.34,2296.74,346.61,48,27,5,2679.6,53.85
2025-10,Latin America,Online Store,Hiking Footwear,185,108.94,20154.55,11164.08,2221.68,48,51,12,8990.47,44.61
2025-10,Latin America,Online Store,Apparel,82,59.29,4862.11,2362.96,605.31,29,14,2,2499.15,51.4
2025-10,Latin America,Online Store,Camping Gear,114,153.55,17504.43,8716.48,1697.98,41,17,3,8787.95,50.2
2025-10,Latin America,Online Store,Accessories,46,36.49,1678.70,950.78,169.44,15,7,1,727.92,43.36
2025-10,Latin America,Retail Partner,Hiking Footwear,57,114.46,6524.32,3255.94,401.94,17,10,2,3268.38,50.1
2025-10,Latin America,Retail Partner,Apparel,71,60.06,4264.04,2412.46,458.33,24,19,3,1851.58,43.42
2025-10,Latin America,Retail Partner,Camping Gear,105,152.61,16023.55,8763.39,1514.75,28,20,4,7260.16,45.31
2025-10,Latin America,Retail Partner,Accessories,77,36.02,2773.65,1453.95,245.43,30,18,2,1319.7,47.58
2025-10,Latin America,Marketplace,Hiking Footwear,66,112.48,7423.52,3615.72,548.37,25,10,3,3807.8,51.29
2025-10,Latin America,Marketplace,Apparel,47,63.84,3000.25,1733.27,206.91,14,13,2,1266.98,42.23
2025-10,Latin America,Marketplace,Camping Gear,69,140.13,9668.74,5191.37,1299,23,16,2,4477.37,46.31
2025-10,Latin America,Marketplace,Accessories,97,36.89,3577.99,1697.10,307.33,30,21,3,1880.89,52.57
2025-11,North America,Online Store,Hiking Footwear,327,114.93,37581.17,19751.20,2718.96,105,75,7,17829.97,47.44
2025-11,North America,Online Store,Apparel,146,62.88,9179.87,4291.35,597.33,58,28,8,4888.52,53.25
2025-11,North America,Online Store,Camping Gear,315,157.81,49709.15,26218.25,4857.88,98,63,20,23490.9,47.26
2025-11,North America,Online Store,Accessories,214,37.31,7985.27,4595.15,558.52,76,62,6,3390.12,42.45
2025-11,North America,Retail Partner,Hiking Footwear,261,121.79,31786.50,17782.57,2262.62,96,47,7,14003.93,44.06
2025-11,North America,Retail Partner,Apparel,153,60.64,9277.22,5157.16,1050.33,50,31,9,4120.06,44.41
2025-11,North America,Retail Partner,Camping Gear,283,148.17,41933.26,20924.81,4068.13,83,74,12,21008.45,50.1
2025-11,North America,Retail Partner,Accessories,227,33.13,7519.49,4263.13,682.1,75,64,11,3256.36,43.31
2025-11,North America,Marketplace,Hiking Footwear,123,111.34,13695.13,7576.46,1501.07,40,34,7,6118.67,44.68
2025-11,North America,Marketplace,Apparel,167,60.47,10098.79,4953.70,806.68,60,25,8,5145.09,50.95
2025-11,North America,Marketplace,Camping Gear,193,145.26,28035.65,15609.23,1930.27,72,32,7,12426.42,44.32
2025-11,North America,Marketplace,Accessories,222,37.08,8232.00,3864.84,644.9,79,57,11,4367.16,53.05
2025-11,Europe,Online Store,Hiking Footwear,267,114.04,30449.53,15070.70,2269.34,103,63,10,15378.83,50.51
2025-11,Europe,Online Store,Apparel,226,64.51,14578.37,8355.55,1053.55,76,51,11,6222.82,42.69
2025-11,Europe,Online Store,Camping Gear,208,155.90,32427.10,18481.01,3780.32,56,49,10,13946.09,43.01
2025-11,Europe,Online Store,Accessories,287,34.47,9892.58,5398.75,1333.02,111,62,7,4493.83,45.43
2025-11,Europe,Retail Partner,Hiking Footwear,203,122.19,24804.69,12448.74,1596.95,60,54,4,12355.95,49.81
2025-11,Europe,Retail Partner,Apparel,162,62.84,10179.35,5107.61,1048.39,62,32,6,5071.74,49.82
2025-11,Europe,Retail Partner,Camping Gear,153,141.74,21685.94,11034.18,1545.53,42,34,6,10651.76,49.12
2025-11,Europe,Retail Partner,Accessories,290,37.90,10992.14,5464.32,1170.08,100,44,15,5527.82,50.29
2025-11,Europe,Marketplace,Hiking Footwear,149,110.05,16397.21,9503.72,1642.6,50,23,8,6893.49,42.04
2025-11,Europe,Marketplace,Apparel,71,61.23,4347.24,2463.79,332.18,19,11,3,1883.45,43.33
2025-11,Europe,Marketplace,Camping Gear,109,158.27,17250.98,8779.50,1758.76,34,22,5,8471.48,49.11
2025-11,Europe,Marketplace,Accessories,165,32.59,5376.80,2546.72,693.3,64,33,5,2830.08,52.64
2025-11,Asia Pacific,Online Store,Hiking Footwear,138,108.61,14988.08,7048.89,1757.77,48,21,4,7939.19,52.97
2025-11,Asia Pacific,Online Store,Apparel,181,61.50,11132.22,5981.85,685.49,48,48,5,5150.37,46.27
2025-11,Asia Pacific,Online Store,Camping Gear,111,137.98,15316.14,7376.44,1803.96,41,30,4,7939.7,51.84
2025-11,Asia Pacific,Online Store,Accessories,234,36.18,8465.32,4034.98,706.45,89,35,5,4430.34,52.34
2025-11,Asia Pacific,Retail Partner,Hiking Footwear,178,118.11,21024.33,11900.77,2636.36,53,33,6,9123.56,43.4
2025-11,Asia Pacific,Retail Partner,Apparel,68,66.17,4499.82,2181.73,494.67,21,15,2,2318.09,51.52
2025-11,Asia Pacific,Retail Partner,Camping Gear,145,157.91,22896.69,10720.57,2964.6,46,41,8,12176.12,53.18
2025-11,Asia Pacific,Retail Partner,Accessories,159,34.48,5481.76,2482.80,446.73,52,38,5,2998.96,54.71
2025-11,Asia Pacific,Marketplace,Hiking Footwear,137,131.63,18032.71,9347.07,1329.63,39,20,9,8685.64,48.17
2025-11,Asia Pacific,Marketplace,Apparel,78,60.03,4682.40,2458.01,383.6,25,19,4,2224.39,47.51
2025-11,Asia Pacific,Marketplace,Camping Gear,118,153.02,18055.83,9686.14,1336.67,45,25,4,8369.69,46.35
2025-11,Asia Pacific,Marketplace,Accessories,165,35.13,5796.85,2643.98,424.92,59,26,8,3152.87,54.39
2025-11,Latin America,Online Store,Hiking Footwear,109,114.93,12527.22,6216.48,1472.24,32,25,4,6310.74,50.38
2025-11,Latin America,Online Store,Apparel,51,67.13,3423.51,1957.52,406.05,14,7,1,1465.99,42.82
2025-11,Latin America,Online Store,Camping Gear,93,149.89,13939.86,7354.52,1209.14,34,15,2,6585.34,47.24
2025-11,Latin America,Online Store,Accessories,135,36.60,4940.64,2541.53,568.53,42,25,8,2399.11,48.56
2025-11,Latin America,Retail Partner,Hiking Footwear,127,114.53,14545.50,7661.55,1292.77,33,36,3,6883.95,47.33
2025-11,Latin America,Retail Partner,Apparel,86,70.85,6093.37,3095.31,455.85,28,24,4,2998.06,49.2
2025-11,Latin America,Retail Partner,Camping Gear,105,155.77,16355.67,9165.64,1308.02,33,19,7,7190.03,43.96
2025-11,Latin America,Retail Partner,Accessories,141,38.11,5373.29,2445.52,625.7,54,24,6,2927.77,54.49
2025-11,Latin America,Marketplace,Hiking Footwear,62,130.19,8071.50,4651.10,1094.02,19,17,3,3420.4,42.38
2025-11,Latin America,Marketplace,Apparel,70,62.65,4385.38,2445.99,276.11,23,12,1,1939.39,44.22
2025-11,Latin America,Marketplace,Camping Gear,78,145.20,11325.31,6163.46,738.73,23,18,4,5161.85,45.58
2025-11,Latin America,Marketplace,Accessories,76,33.73,2563.58,1362.20,335.52,26,14,1,1201.38,46.86
2025-12,North America,Online Store,Hiking Footwear,321,130.54,41902.58,23207.40,5859.44,97,85,12,18695.18,44.62
2025-12,North America,Online Store,Apparel,270,64.74,17479.36,9291.60,2270.47,107,71,11,8187.76,46.84
2025-12,North America,Online Store,Camping Gear,320,142.16,45492.26,21124.86,4020.14,93,62,10,24367.4,53.56
2025-12,North America,Online Store,Accessories,271,31.79,8616.35,3897.38,1197.83,85,56,14,4718.97,54.77
2025-12,North America,Retail Partner,Hiking Footwear,331,130.67,43252.95,22091.97,4717.73,91,98,10,21160.98,48.92
2025-12,North America,Retail Partner,Apparel,165,70.76,11674.66,6239.57,1268.09,53,30,4,5435.09,46.55
2025-12,North America,Retail Partner,Camping Gear,156,158.39,24708.46,12243.44,1596.84,61,44,10,12465.02,50.45
2025-12,North America,Retail Partner,Accessories,223,38.46,8577.55,4053.80,786.56,81,56,6,4523.75,52.74
2025-12,North America,Marketplace,Hiking Footwear,179,113.37,20293.52,10548.71,2180.24,60,29,11,9744.81,48.02
2025-12,North America,Marketplace,Apparel,164,61.95,10160.26,4743.18,1332.01,64,45,9,5417.08,53.32
2025-12,North America,Marketplace,Camping Gear,176,137.61,24219.29,12184.70,2175.26,50,45,7,12034.59,49.69
2025-12,North America,Marketplace,Accessories,322,32.07,10325.68,4942.12,1183.95,84,89,14,5383.56,52.14
2025-12,Europe,Online Store,Hiking Footwear,414,127.79,52906.03,26199.87,6044.05,138,78,26,26706.16,50.48
2025-12,Europe,Online Store,Apparel,142,68.87,9779.05,5237.65,1252.17,53,36,8,4541.4,46.44
2025-12,Europe,Online Store,Camping Gear,227,153.56,34857.74,19096.92,2533.75,86,63,4,15760.82,45.21
2025-12,Europe,Online Store,Accessories,324,37.28,12078.95,5637.89,1048.57,117,56,19,6441.06,53.32
2025-12,Europe,Retail Partner,Hiking Footwear,207,108.15,22387.73,10909.88,2448.19,82,50,6,11477.85,51.27
2025-12,Europe,Retail Partner,Apparel,185,66.74,12347.28,6423.03,1511.15,49,48,8,5924.25,47.98
2025-12,Europe,Retail Partner,Camping Gear,144,153.98,22172.93,12664.37,1512.21,56,36,3,9508.56,42.88
2025-12,Europe,Retail Partner,Accessories,221,33.61,7427.09,4025.95,485.64,74,44,11,3401.14,45.79
2025-12,Europe,Marketplace,Hiking Footwear,140,126.20,17667.76,8006.96,1091.34,41,31,8,9660.8,54.68
2025-12,Europe,Marketplace,Apparel,121,67.38,8153.32,4141.62,667.68,48,25,5,4011.7,49.2
2025-12,Europe,Marketplace,Camping Gear,132,155.81,20566.98,9845.41,1369.57,46,32,4,10721.57,52.13
2025-12,Europe,Marketplace,Accessories,142,38.16,5418.16,2544.57,512.49,55,30,7,2873.59,53.04
2025-12,Asia Pacific,Online Store,Hiking Footwear,120,131.62,15793.86,7947.68,2077.33,34,21,2,7846.18,49.68
2025-12,Asia Pacific,Online Store,Apparel,110,66.97,7366.88,3668.03,951.42,35,32,3,3698.85,50.21
2025-12,Asia Pacific,Online Store,Camping Gear,158,158.13,24984.17,13986.68,3020.13,54,26,3,10997.49,44.02
2025-12,Asia Pacific,Online Store,Accessories,227,37.95,8613.73,4566.69,1065.72,73,38,5,4047.04,46.98
2025-12,Asia Pacific,Retail Partner,Hiking Footwear,138,112.81,15568.14,8000.58,1014.06,46,26,8,7567.56,48.61
2025-12,Asia Pacific,Retail Partner,Apparel,167,62.53,10443.30,5317.51,636.31,43,34,7,5125.79,49.08
2025-12,Asia Pacific,Retail Partner,Camping Gear,69,155.85,10753.61,6041.55,1316.11,17,15,1,4712.06,43.82
2025-12,Asia Pacific,Retail Partner,Accessories,202,33.19,6705.25,3877.42,478.75,65,49,11,2827.83,42.17
2025-12,Asia Pacific,Marketplace,Hiking Footwear,127,115.84,14711.05,7610.06,986.07,38,19,3,7100.99,48.27
2025-12,Asia Pacific,Marketplace,Apparel,90,63.66,5729.40,2677.08,603.9,31,24,2,3052.32,53.27
2025-12,Asia Pacific,Marketplace,Camping Gear,132,135.95,17945.08,10259.34,1151.32,43,33,8,7685.74,42.83
2025-12,Asia Pacific,Marketplace,Accessories,168,36.50,6131.77,3398.38,534.42,62,27,10,2733.39,44.58
2025-12,Latin America,Online Store,Hiking Footwear,182,118.86,21631.73,11544.10,2208.86,65,29,4,10087.63,46.63
2025-12,Latin America,Online Store,Apparel,95,61.71,5862.67,2759.80,760.64,26,28,3,3102.87,52.93
2025-12,Latin America,Online Store,Camping Gear,110,154.76,17023.74,8763.23,1777.77,39,20,7,8260.51,48.52
2025-12,Latin America,Online Store,Accessories,114,38.32,4368.88,2335.35,331.87,40,18,2,2033.53,46.55
2025-12,Latin America,Retail Partner,Hiking Footwear,104,128.84,13399.21,7296.30,1600.09,32,20,4,6102.91,45.55
2025-12,Latin America,Retail Partner,Apparel,41,71.34,2924.92,1331.47,378.38,13,8,2,1593.45,54.48
2025-12,Latin America,Retail Partner,Camping Gear,103,162.02,16688.17,8424.58,1370.87,34,29,3,8263.59,49.52
2025-12,Latin America,Retail Partner,Accessories,111,35.86,3980.55,2118.06,472.29,29,28,7,1862.49,46.79
2025-12,Latin America,Marketplace,Hiking Footwear,76,131.31,9979.82,4725.71,1280.92,24,14,4,5254.11,52.65
2025-12,Latin America,Marketplace,Apparel,49,64.29,3150.16,1628.40,279.54,16,8,1,1521.76,48.31
2025-12,Latin America,Marketplace,Camping Gear,42,158.20,6644.58,3103.11,914.2,13,7,0,3541.47,53.3
2025-12,Latin America,Marketplace,Accessories,117,32.69,3824.53,1979.46,332.58,43,25,3,1845.07,48.24
2026-01,North America,Online Store,Hiking Footwear,429,112.01,48051.86,22670.41,3024.08,154,107,18,25381.45,52.82
2026-01,North America,Online Store,Apparel,294,69.47,20425.42,11330.74,2182.01,111,53,7,9094.68,44.53
2026-01,North America,Online Store,Camping Gear,196,150.94,29583.28,16914.50,1868.11,52,42,13,12668.78,42.82
2026-01,North America,Online Store,Accessories,303,33.71,10215.07,5270.37,646.88,82,90,20,4944.7,48.41
2026-01,North America,Retail Partner,Hiking Footwear,317,118.91,37695.66,19489.69,3735.93,110,54,6,18205.97,48.3
2026-01,North America,Retail Partner,Apparel,218,62.50,13625.67,7379.78,1037.57,76,64,5,6245.89,45.84
2026-01,North America,Retail Partner,Camping Gear,139,161.04,22385.15,10588.84,2583.47,52,40,7,11796.31,52.7
2026-01,North America,Retail Partner,Accessories,385,34.98,13467.39,7142.03,1744.19,129,59,25,6325.36,46.97
2026-01,North America,Marketplace,Hiking Footwear,264,113.18,29878.52,16004.58,2734.16,91,43,13,13873.94,46.43
2026-01,North America,Marketplace,Apparel,210,71.49,15013.40,6850.13,2074.46,65,58,12,8163.27,54.37
2026-01,North America,Marketplace,Camping Gear,191,161.36,30818.89,15487.67,2655.44,66,51,11,15331.22,49.75
2026-01,North America,Marketplace,Accessories,229,37.08,8492.40,4302.47,1065.17,61,53,4,4189.93,49.34
2026-01,Europe,Online Store,Hiking Footwear,170,117.51,19976.38,10795.45,1819.54,53,31,6,9180.93,45.96
2026-01,Europe,Online Store,Apparel,116,61.45,7128.72,3275.76,771.87,40,28,5,3852.96,54.05
2026-01,Europe,Online Store,Camping Gear,198,150.57,29813.35,15273.19,1849.96,59,40,7,14540.16,48.77
2026-01,Europe,Online Store,Accessories,220,35.56,7823.47,4063.26,849.88,80,59,12,3760.21,48.06
2026-01,Europe,Retail Partner,Hiking Footwear,241,113.84,27436.30,15652.81,1778.46,94,48,6,11783.49,42.95
2026-01,Europe,Retail Partner,Apparel,169,64.82,10953.96,5294.94,906.88,50,45,7,5659.02,51.66
2026-01,Europe,Retail Partner,Camping Gear,163,156.48,25506.98,12382.14,2374.29,43,28,8,13124.84,51.46
2026-01,Europe,Retail Partner,Accessories,116,32.77,3801.33,1970.12,443.71,30,27,3,1831.21,48.17
2026-01,Europe,Marketplace,Hiking Footwear,159,127.34,20247.67,10559.76,1285.18,54,46,7,9687.91,47.85
2026-01,Europe,Marketplace,Apparel,144,69.15,9957.52,5625.47,779.14,40,34,5,4332.05,43.51
2026-01,Europe,Marketplace,Camping Gear,70,158.42,11089.10,5386.25,1395.11,21,17,1,5702.85,51.43
2026-01,Europe,Marketplace,Accessories,130,35.87,4662.71,2372.06,498.58,35,33,8,2290.65,49.13
2026-01,Asia Pacific,Online Store,Hiking Footwear,187,108.57,20302.09,10830.28,2204.15,62,34,7,9471.81,46.65
2026-01,Asia Pacific,Online Store,Apparel,149,66.23,9868.00,5077.87,1371.88,40,37,5,4790.13,48.54
2026-01,Asia Pacific,Online Store,Camping Gear,186,155.77,28973.79,16771.86,2036.03,49,48,9,12201.93,42.11
2026-01,Asia Pacific,Online Store,Accessories,167,33.42,5580.99,2569.07,373.1,64,29,6,3011.92,53.97
2026-01,Asia Pacific,Retail Partner,Hiking Footwear,135,109.67,14804.93,7661.22,968.38,49,24,6,7143.71,48.25
2026-01,Asia Pacific,Retail Partner,Apparel,86,69.94,6014.93,3215.67,617.35,25,17,4,2799.26,46.54
2026-01,Asia Pacific,Retail Partner,Camping Gear,155,148.96,23088.21,10570.21,2423.89,61,27,8,12518,54.22
2026-01,Asia Pacific,Retail Partner,Accessories,182,32.91,5988.99,3112.22,405.66,57,47,6,2876.77,48.03
2026-01,Asia Pacific,Marketplace,Hiking Footwear,169,130.25,22012.63,10577.15,2023.96,46,50,11,11435.48,51.95
2026-01,Asia Pacific,Marketplace,Apparel,119,65.52,7796.81,4362.04,792.75,40,19,6,3434.77,44.05
2026-01,Asia Pacific,Marketplace,Camping Gear,89,158.46,14103.01,7645.76,886.98,26,16,3,6457.25,45.79
2026-01,Asia Pacific,Marketplace,Accessories,126,32.11,4046.30,2313.69,422.05,37,26,5,1732.61,42.82
2026-01,Latin America,Online Store,Hiking Footwear,144,130.07,18729.42,9638.26,2610.37,54,26,9,9091.16,48.54
2026-01,Latin America,Online Store,Apparel,171,60.01,10262.18,5708.53,928.21,65,47,10,4553.65,44.37
2026-01,Latin America,Online Store,Camping Gear,70,137.43,9619.93,4832.93,710.74,24,14,4,4787,49.76
2026-01,Latin America,Online Store,Accessories,166,35.99,5973.81,3326.95,421.76,62,47,7,2646.86,44.31
2026-01,Latin America,Retail Partner,Hiking Footwear,150,112.20,16829.42,8672.77,1546.51,40,30,3,8156.65,48.47
2026-01,Latin America,Retail Partner,Apparel,98,58.84,5765.88,2695.96,790.21,32,28,4,3069.92,53.24
2026-01,Latin America,Retail Partner,Camping Gear,72,148.19,10669.35,4947.77,1187.14,20,17,3,5721.58,53.63
2026-01,Latin America,Retail Partner,Accessories,51,32.56,1660.77,760.59,203.38,16,8,3,900.18,54.2
2026-01,Latin America,Marketplace,Hiking Footwear,91,131.61,11976.35,5761.74,854.87,24,17,2,6214.61,51.89
2026-01,Latin America,Marketplace,Apparel,62,67.50,4184.88,1917.08,421.64,24,16,3,2267.8,54.19
